"State","District","EstimatePopulation","EstimateHouseholds"
"1","2010","2147429","812112"
"2","2010","282121","97868"
"3","2010","1207663","453784"
"4","2010","1286314","501787"
"5","2010","6424083","2209806"
"6","2010","1415042","550254"
"7","2010","999739","381253"
"8","2010","232876","88845"
"9","2010","91397","36572"
"10","2010","4340656","1647612"
"11","2010","3200904","1157337"
"12","2010","310621","98981"
"13","2010","619414","231228"
"14","2010","3588513","1353635"
"15","2010","2360689","878804"
"16","2010","1488084","589080"
"17","2010","1173174","457614"
"18","2010","1703099","647893"
"19","2010","1519673","554252"
"20","2010","844278","349755"
"21","2010","1500041","538544"
"22","2010","2087609","795981"
"23","2010","2955629","1125242"
"24","2010","1939481","770673"
"25","2010","1408322","512090"
"26","2010","2280657","888285"
"27","2010","463561","186085"
"28","2010","722422","284268"
"29","2010","469209","178528"
"30","2010","727070","283242"
"31","2010","2457022","904727"
"32","2010","630836","229556"
"33","2010","4620263","1748343"
"34","2010","3050713","1175512"
"35","2010","334494","136232"
"36","2010","3535324","1346145"
"37","2010","1450233","549137"
"38","2010","1192255","473253"
"39","2010","4297942","1663957"
"40","2010","278044","105193"
"41","2010","1531526","573559"
"42","2010","444796","171805"
"43","2010","2146316","829860"
"44","2010","6624549","2342698"
"45","2010","693696","220886"
"46","2010","412249","166448"
"47","2010","2733083","1030221"
"48","2010","1723878","675787"
"49","2010","1098210","433652"
"50","2010","2143451","855917"
"51","2010","244551","96334"
"1","2011","2166768","818402"
"2","2011","286092","100484"
"3","2011","1241969","458914"
"4","2011","1294582","502332"
"5","2011","6496095","2224687"
"6","2011","1440953","556980"
"7","2011","1002054","382252"
"8","2011","235069","89280"
"9","2011","91270","36560"
"10","2011","4396067","1655523"
"11","2011","3253739","1167322"
"12","2011","311369","100019"
"13","2011","629259","234084"
"14","2011","3604073","1355577"
"15","2011","2373301","883164"
"16","2011","1499535","593423"
"17","2011","1183240","457765"
"18","2011","1709829","649130"
"19","2011","1536278","562821"
"20","2011","846308","350798"
"21","2011","1508126","540439"
"22","2011","2100650","801899"
"23","2011","2949458","1121439"
"24","2011","1955827","775109"
"25","2011","1418253","515191"
"26","2011","2292173","889735"
"27","2011","467574","187454"
"28","2011","724440","284701"
"29","2011","489291","183651"
"30","2011","726910","284290"
"31","2011","2470272","907271"
"32","2011","635285","230429"
"33","2011","4632962","1753298"
"34","2011","3093797","1187648"
"35","2011","335085","136897"
"36","2011","3542575","1347253"
"37","2011","1468324","554429"
"38","2011","1203788","476670"
"39","2011","4311409","1670602"
"40","2011","277164","105147"
"41","2011","1545303","579384"
"42","2011","448161","173498"
"43","2011","2161496","832941"
"44","2011","6762660","2380832"
"45","2011","711864","225420"
"46","2011","412218","167051"
"47","2011","2756846","1035194"
"48","2011","1756802","684360"
"49","2011","1102987","434166"
"50","2011","2154746","857689"
"51","2011","248149","97830"
"1","2012","2181795","821825"
"2","2012","290849","100525"
"3","2012","1265581","464865"
"4","2012","1301934","505775"
"5","2012","6543941","2232961"
"6","2012","1462698","563998"
"7","2012","1006261","382849"
"8","2012","237767","89269"
"9","2012","92909","36658"
"10","2012","4453602","1663713"
"11","2012","3291662","1174398"
"12","2012","315664","101054"
"13","2012","636057","235054"
"14","2012","3621341","1360506"
"15","2012","2387972","885939"
"16","2012","1504554","595469"
"17","2012","1186342","460085"
"18","2012","1716988","653634"
"19","2012","1549146","568399"
"20","2012","846187","350630"
"21","2012","1523102","543448"
"22","2012","2117222","805595"
"23","2012","2944737","1120426"
"24","2012","1960935","776984"
"25","2012","1421121","516943"
"26","2012","2304664","890798"
"27","2012","471330","189530"
"28","2012","726387","285880"
"29","2012","498480","187108"
"30","2012","727547","285892"
"31","2012","2485880","909739"
"32","2012","644756","230965"
"33","2012","4645662","1758327"
"34","2012","3134981","1195806"
"35","2012","339111","138606"
"36","2012","3543656","1348852"
"37","2012","1478848","555911"
"38","2012","1215580","479142"
"39","2012","4322391","1673800"
"40","2012","277706","105322"
"41","2012","1566367","584565"
"42","2012","452773","174595"
"43","2012","2174672","835378"
"44","2012","6882014","2412519"
"45","2012","725589","228693"
"46","2012","412727","167358"
"47","2012","2783027","1041875"
"48","2012","1781979","690314"
"49","2012","1103534","434997"
"50","2012","2165681","859462"
"51","2012","252168","99208"
"1","2013","2181030","820891"
"2","2013","294654","100141"
"3","2013","1282582","469354"
"4","2013","1307882","506075"
"5","2013","6590859","2247788"
"6","2013","1479638","568463"
"7","2013","1009084","381619"
"8","2013","240624","90095"
"9","2013","94230","36831"
"10","2013","4519857","1675083"
"11","2013","3309342","1176004"
"12","2013","323289","102449"
"13","2013","641482","235922"
"14","2013","3635435","1361577"
"15","2013","2393881","887765"
"16","2013","1508612","596499"
"17","2013","1192038","460150"
"18","2013","1719999","654635"
"19","2013","1561011","572215"
"20","2013","844291","351464"
"21","2013","1532934","546612"
"22","2013","2126763","807478"
"23","2013","2938917","1122776"
"24","2013","1971783","778004"
"25","2013","1419945","514722"
"26","2013","2315627","891998"
"27","2013","475508","189233"
"28","2013","728406","287273"
"29","2013","503283","188684"
"30","2013","730387","287787"
"31","2013","2498387","911653"
"32","2013","647591","230657"
"33","2013","4653742","1756201"
"34","2013","3172208","1204513"
"35","2013","345479","140671"
"36","2013","3545126","1349140"
"37","2013","1490308","558874"
"38","2013","1218670","480582"
"39","2013","4330617","1672851"
"40","2013","278183","105715"
"41","2013","1579027","588977"
"42","2013","455597","175763"
"43","2013","2185675","837031"
"44","2013","7010254","2440787"
"45","2013","733813","229312"
"46","2013","412651","167194"
"47","2013","2800813","1045923"
"48","2013","1804989","694594"
"49","2013","1103656","433698"
"50","2013","2173453","860434"
"51","2013","255983","99975"
"1","2014","2184371","819854"
"2","2014","296428","100035"
"3","2014","1308280","475287"
"4","2014","1309693","506010"
"5","2014","6654395","2262916"
"6","2014","1497330","571893"
"7","2014","1013581","383070"
"8","2014","243545","90822"
"9","2014","95175","37148"
"10","2014","4578154","1689831"
"11","2014","3330543","1182095"
"12","2014","330039","103278"
"13","2014","646970","237288"
"14","2014","3638992","1363407"
"15","2014","2408100","892416"
"16","2014","1516321","600097"
"17","2014","1196358","461064"
"18","2014","1720214","656030"
"19","2014","1569228","575548"
"20","2014","843564","350746"
"21","2014","1543368","548380"
"22","2014","2140505","809595"
"23","2014","2938583","1126496"
"24","2014","1982537","779743"
"25","2014","1424460","517415"
"26","2014","2319342","890312"
"27","2014","478862","190234"
"28","2014","729967","287810"
"29","2014","509514","190158"
"30","2014","730703","289614"
"31","2014","2511463","912146"
"32","2014","649425","231129"
"33","2014","4667843","1756910"
"34","2014","3191333","1208953"
"35","2014","350473","142570"
"36","2014","3547881","1351116"
"37","2014","1503762","560593"
"38","2014","1230354","481989"
